Date,Run,Ticker,Flag,Category,Reason,VIX,VIX_Change_Pct
2026-07-21,premarket,MSFT,Normal,other,"MSFT roughly flat -0.60%; no company-specific catalyst, tariff headline is broad not MSFT-specific",17.81,-4.5
2026-07-20,market-close,MU,Normal,other,"MU +1.94% close, continued memory-sector rebound after last week's SK Hynix-driven selloff; no negative catalyst today.",17.73,-4.93
2026-07-20,market-close,SNDK,Normal,other,"SNDK +2.67% close, tracking MU/memory-sector rebound; extreme-volatility name but move is broad-based, not anomalous.",17.73,-4.93
2026-07-20,market-close,MSFT,Normal,other,"MSFT +2.15% close on broad tech/AI rally; no company-specific catalyst.",17.73,-4.93
2026-07-22,premarket,MU,Caution,sector-contagion,"Chip-sector-wide softness (SOXQ gauge cited down ~1.7%); Cramer public profit-taking call on AI/tech names; no MU-specific negative catalyst today.",17.2,0.88
2026-07-22,premarket,SNDK,Caution,sector-contagion,"Same sector softness as MU; no SNDK-specific catalyst; extreme-volatility name warrants added care regardless.",17.2,0.88
2026-07-22,premarket,MSFT,Caution,sector-contagion,"MSFT -1.96% intraday with no company-specific news found; broad pre-earnings-season de-risking (GOOGL/TSLA report after today's close) likely driver.",17.2,0.88
2026-07-21,market-close,MU,Normal,sector-contagion,"MU +12.2% on broad semiconductor-sector rally (Motley Fool); no company-specific catalyst, positive direction.",17.05,0.0
2026-07-21,market-close,SNDK,Normal,sector-contagion,"SNDK +14.25% tracking MU/memory-sector strength; no SNDK-specific catalyst.",17.05,0.0
2026-07-21,market-close,MSFT,Normal,other,"MSFT +1.48% intraday dip recovered by close; Microsoft-Mistral partnership news and general software commentary, nothing negative.",17.05,0.0
2026-07-22,market-close,MU,16.64,Normal,"VIX 16.64 normal; MU +? see briefing, choppy AI/semi tape amid Mideast escalation"
2026-07-22,market-close,SNDK,16.64,Normal,"VIX 16.64 normal; SNDK session volatile, memory sector correlated"
2026-07-22,market-close,MSFT,16.64,Normal,VIX 16.64 normal; MSFT pulled back on enterprise software weakness (IBM/PLTR/NOW selloff)
